"","Dd","Date"
"1",0.0383228537053479,2007-07-12
"2",0.0383228537053479,2007-07-13
"3",0.0383228537053478,2007-07-16
"4",0.0383228537053479,2007-07-17
"5",0.0383228537053479,2007-07-18
"6",0.0383228537053479,2007-07-19
"7",0.0386093127846686,2007-07-20
"8",0.0407362714486232,2007-07-23
"9",0.0462398665100687,2007-07-24
"10",0.0553009252628259,2007-07-25
"11",0.0686534990976538,2007-07-26
"12",0.0841992752585292,2007-07-27
"13",0.0841992752585291,2007-07-30
"14",0.0841992752585292,2007-07-31
"15",0.0841992752585291,2007-08-01
"16",0.0841992752585292,2007-08-02
"17",0.0841992752585291,2007-08-03
"18",0.084199275258529,2007-08-06
"19",0.0841992752585292,2007-08-07
"20",0.0841992752585291,2007-08-08
"21",0.0841992752585291,2007-08-09
"22",0.0841992752585292,2007-08-10
"23",0.0841992752585292,2007-08-13
"24",0.0841992752585292,2007-08-14
"25",0.0841992752585291,2007-08-15
"26",0.0841992752585291,2007-08-16
"27",0.0841992752585291,2007-08-17
"28",0.0841992752585292,2007-08-20
"29",0.0841992752585291,2007-08-21
"30",0.0841992752585291,2007-08-22
"31",0.0841992752585292,2007-08-23
"32",0.0841992752585291,2007-08-24
"33",0.082643916663827,2007-08-27
"34",0.0826439166638271,2007-08-28
"35",0.0818271731696762,2007-08-29
"36",0.0818271731696762,2007-08-30
"37",0.0818271731696764,2007-08-31
"38",0.0805166931208844,2007-09-04
"39",0.0793764780838631,2007-09-05
"40",0.0750582253211431,2007-09-06
"41",0.0725712141073825,2007-09-07
"42",0.0706080933761645,2007-09-10
"43",0.0697122467018038,2007-09-11
"44",0.0697122467018039,2007-09-12
"45",0.069712246701804,2007-09-13
"46",0.0697122467018039,2007-09-14
"47",0.0697122467018038,2007-09-17
"48",0.0697122467018039,2007-09-18
"49",0.0649386972409645,2007-09-19
"50",0.0649386972409645,2007-09-20
"51",0.0649386972409645,2007-09-21
"52",0.0622164044066287,2007-09-24
"53",0.0622164044066287,2007-09-25
"54",0.0589262322829431,2007-09-26
"55",0.0586266105478579,2007-09-27
