"","Dd","Date"
"1",0.0464730726459179,2005-09-28
"2",0.0464730726459179,2005-09-29
"3",0.0464730726459177,2005-09-30
"4",0.0464730726459179,2005-10-03
"5",0.0464730726459178,2005-10-04
"6",0.0464730726459178,2005-10-05
"7",0.0464730726459178,2005-10-06
"8",0.0464730726459179,2005-10-07
"9",0.0464730726459178,2005-10-10
"10",0.0464730726459179,2005-10-11
"11",0.0464730726459179,2005-10-12
"12",0.0464730726459179,2005-10-13
"13",0.0464730726459177,2005-10-14
"14",0.0464730726459179,2005-10-17
"15",0.0464730726459178,2005-10-18
"16",0.0464730726459179,2005-10-19
"17",0.0464730726459178,2005-10-20
"18",0.0464730726459178,2005-10-21
"19",0.0464730726459178,2005-10-24
"20",0.0464730726459178,2005-10-25
"21",0.0464730726459177,2005-10-26
"22",0.0464730726459179,2005-10-27
"23",0.0464730726459178,2005-10-28
"24",0.0464730726459178,2005-10-31
"25",0.0464730726459178,2005-11-01
"26",0.0464730726459178,2005-11-02
"27",0.0464730726459177,2005-11-03
"28",0.0464730726459177,2005-11-04
"29",0.0464730726459179,2005-11-07
"30",0.0464730726459177,2005-11-08
"31",0.0464730726459179,2005-11-09
"32",0.0464730726459179,2005-11-10
"33",0.0464730726459178,2005-11-11
"34",0.0464730726459178,2005-11-14
"35",0.0464730726459178,2005-11-15
"36",0.0464730726459177,2005-11-16
"37",0.0464730726459178,2005-11-17
"38",0.0464730726459178,2005-11-18
"39",0.0464730726459178,2005-11-21
"40",0.0464730726459178,2005-11-22
"41",0.0464730726459179,2005-11-23
"42",0.0464730726459178,2005-11-25
"43",0.0464730726459177,2005-11-28
"44",0.0464730726459177,2005-11-29
"45",0.0464730726459179,2005-11-30
"46",0.0464730726459179,2005-12-01
"47",0.0464730726459178,2005-12-02
"48",0.0464730726459179,2005-12-05
"49",0.0464730726459177,2005-12-06
"50",0.0464730726459177,2005-12-07
"51",0.0464730726459178,2005-12-08
"52",0.0464730726459178,2005-12-09
"53",0.0464730726459179,2005-12-12
"54",0.0464730726459177,2005-12-13
"55",0.0464730726459179,2005-12-14
"56",0.0464730726459177,2005-12-15
"57",0.0464730726459177,2005-12-16
"58",0.0464730726459178,2005-12-19
"59",0.0464730726459177,2005-12-20
"60",0.0464730726459178,2005-12-21
"61",0.0464730726459178,2005-12-22
"62",0.0464730726459179,2005-12-23
"63",0.0464730726459178,2005-12-27
"64",0.0464730726459178,2005-12-28
"65",0.0464730726459178,2005-12-29
"66",0.0464730726459178,2005-12-30
"67",0.0464730726459179,2006-01-03
"68",0.0464730726459179,2006-01-04
"69",0.0464730726459177,2006-01-05
"70",0.0464730726459178,2006-01-06
"71",0.0464730726459178,2006-01-09
"72",0.0464730726459178,2006-01-10
"73",0.0464730726459178,2006-01-11
"74",0.0464730726459178,2006-01-12
"75",0.0464730726459178,2006-01-13
"76",0.0464730726459178,2006-01-17
"77",0.0464730726459178,2006-01-18
"78",0.0464730726459179,2006-01-19
"79",0.0464730726459178,2006-01-20
"80",0.0464730726459178,2006-01-23
"81",0.0464730726459178,2006-01-24
"82",0.0464730726459178,2006-01-25
"83",0.0464730726459179,2006-01-26
"84",0.0464730726459179,2006-01-27
